filt,dist,age,feh,runs,age_bin,feh_meas,massdiff
WFIRST_X625,4,9.30,-2.20,8,8.50,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,8.55,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,8.60,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,8.65,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,8.70,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,8.75,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,8.80,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,8.85,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,8.90,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,8.95,-1.5219999999999998,0.0009000000000000119
WFIRST_X625,4,9.30,-2.20,8,9.00,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,9.05,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,9.10,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,9.15,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,9.20,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,9.25,0.0,0.0
WFIRST_X625,4,9.30,-2.20,8,9.30,-2.1959999999999997,0.8012
WFIRST_X625,4,9.30,-2.20,8,9.35,-2.25,0.1035
WFIRST_X625,4,9.30,-2.20,8,9.40,-2.25,0.038599999999999995
WFIRST_X625,4,9.30,-2.20,8,9.45,-2.15,0.012400000000000001
WFIRST_X625,4,9.30,-2.20,8,9.50,-2.208,0.0434
WFIRST_X625,4,9.30,-2.20,8,9.55,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,8.40,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,8.45,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,8.50,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,8.55,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,8.60,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,8.65,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,8.70,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,8.75,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,8.80,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,8.85,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,8.90,-0.35,0.0006000000000000449
WFIRST_X625,4,9.30,-1.80,1,8.95,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,9.00,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,9.05,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,9.10,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,9.15,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,9.20,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,9.25,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,9.30,-1.7919999999999998,0.8016
WFIRST_X625,4,9.30,-1.80,1,9.35,-1.7519999999999998,0.13369999999999999
WFIRST_X625,4,9.30,-1.80,1,9.40,-1.7719999999999998,0.0641
WFIRST_X625,4,9.30,-1.80,1,9.45,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,9.50,0.0,0.0
WFIRST_X625,4,9.30,-1.80,1,9.55,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,8.40,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,8.45,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,8.50,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,8.55,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,8.60,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,8.65,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,8.70,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,8.75,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,8.80,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,8.85,-0.35,0.0
WFIRST_X625,4,9.30,-1.80,2,8.90,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,8.95,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,9.00,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,9.05,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,9.10,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,9.15,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,9.20,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,9.25,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,9.30,-1.786,0.8242
WFIRST_X625,4,9.30,-1.80,2,9.35,-1.7990000000000002,0.07810000000000002
WFIRST_X625,4,9.30,-1.80,2,9.40,-1.781,0.0977
WFIRST_X625,4,9.30,-1.80,2,9.45,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,9.50,0.0,0.0
WFIRST_X625,4,9.30,-1.80,2,9.55,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,8.40,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,8.45,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,8.50,-0.55,0.0
WFIRST_X625,4,9.30,-1.80,3,8.55,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,8.60,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,8.65,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,8.70,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,8.75,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,8.80,-1.25,0.0
WFIRST_X625,4,9.30,-1.80,3,8.85,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,8.90,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,8.95,-0.05,0.00029999999999996696
WFIRST_X625,4,9.30,-1.80,3,9.00,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,9.05,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,9.10,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,9.15,-1.25,0.0
WFIRST_X625,4,9.30,-1.80,3,9.20,-1.35,0.0009000000000000119
WFIRST_X625,4,9.30,-1.80,3,9.25,0.0,0.0
WFIRST_X625,4,9.30,-1.80,3,9.30,-1.787,0.87
